epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.614,1.94827,2.93516,1.83599,0.44297,0.28075,0.23657,0.13753,1.82926,2.34058,1.58674,0.000366997,0.000366997,0.000366997
2,238.349,1.96087,2.40897,1.82488,0.31779,0.32665,0.28,0.14997,1.84099,2.24224,1.67396,0.000734897,0.000734897,0.000734897
3,358.455,1.98996,2.2745,1.80919,0.37222,0.34334,0.31511,0.167,1.79632,1.94392,1.58469,0.00110035,0.00110035,0.00110035
4,477.987,1.97615,2.21616,1.81424,0.43849,0.39636,0.35587,0.18417,1.82625,2.0764,1.60296,0.0011,0.0011,0.0011
5,595.035,1.88576,2.07974,1.75314,0.49383,0.32095,0.36661,0.18738,1.80135,1.86656,1.60132,0.00109633,0.00109633,0.00109633
6,712.847,1.91769,2.09771,1.77839,0.42697,0.39706,0.37344,0.20345,1.78395,1.80401,1.58531,0.00109267,0.00109267,0.00109267
7,829.192,1.90385,2.0224,1.76199,0.46239,0.40901,0.40493,0.2145,1.77916,1.7591,1.57464,0.001089,0.001089,0.001089
8,946.303,1.88688,2.0285,1.75441,0.46764,0.45909,0.43842,0.23644,1.75744,1.67336,1.56399,0.00108534,0.00108534,0.00108534
9,1062.93,1.8916,2.00616,1.7536,0.47131,0.45306,0.42283,0.22093,1.77078,1.7106,1.58741,0.00108167,0.00108167,0.00108167
10,1179.41,1.84176,1.95345,1.70502,0.51386,0.45295,0.45633,0.23938,1.73569,1.58796,1.52464,0.001078,0.001078,0.001078
11,1296.2,1.83812,1.90235,1.70771,0.48164,0.44632,0.44598,0.24439,1.73618,1.57369,1.54248,0.00107434,0.00107434,0.00107434
12,1413.17,1.8458,1.89193,1.72321,0.4217,0.42589,0.40236,0.22427,1.74585,1.70662,1.54224,0.00107067,0.00107067,0.00107067
13,1531.23,1.83498,1.87454,1.69893,0.49806,0.43068,0.45136,0.24712,1.70414,1.567,1.52942,0.001067,0.001067,0.001067
14,1648.42,1.83844,1.8927,1.7048,0.47135,0.46916,0.43886,0.23513,1.71127,1.57008,1.52233,0.00106334,0.00106334,0.00106334
15,1766.28,1.80469,1.82899,1.68587,0.52433,0.52054,0.48802,0.25718,1.73837,1.4862,1.51301,0.00105967,0.00105967,0.00105967
16,1884.05,1.79977,1.80258,1.66232,0.49191,0.49077,0.45384,0.25688,1.6599,1.4984,1.51173,0.00105601,0.00105601,0.00105601
17,2001.38,1.78882,1.83549,1.68137,0.51377,0.45879,0.45674,0.24825,1.70677,1.51953,1.52385,0.00105234,0.00105234,0.00105234
18,2116.93,1.78623,1.81463,1.68562,0.54997,0.45613,0.44064,0.24125,1.71636,1.53635,1.5154,0.00104867,0.00104867,0.00104867
19,2232.56,1.80645,1.82447,1.6927,0.62162,0.43489,0.46562,0.24849,1.71193,1.48648,1.51393,0.00104501,0.00104501,0.00104501
20,2349.19,1.77509,1.80748,1.67654,0.50334,0.47202,0.45116,0.2548,1.65895,1.49775,1.4926,0.00104134,0.00104134,0.00104134
21,2466.63,1.75289,1.71357,1.63988,0.5379,0.48348,0.48005,0.26501,1.65183,1.48639,1.49198,0.00103767,0.00103767,0.00103767
22,2583.34,1.76017,1.74408,1.66735,0.54472,0.48664,0.49576,0.27541,1.63454,1.47,1.47515,0.00103401,0.00103401,0.00103401
23,2701.2,1.77884,1.74718,1.6634,0.48051,0.49818,0.46534,0.25653,1.65438,1.56603,1.47952,0.00103034,0.00103034,0.00103034
24,2818.14,1.74619,1.702,1.63544,0.49386,0.45875,0.45437,0.24958,1.68388,1.49012,1.51699,0.00102668,0.00102668,0.00102668
25,2935.58,1.7226,1.65941,1.60846,0.60053,0.45134,0.49086,0.26675,1.64886,1.46879,1.48242,0.00102301,0.00102301,0.00102301
26,3053.43,1.73661,1.68007,1.62364,0.52536,0.51894,0.50405,0.27177,1.66809,1.42343,1.48819,0.00101934,0.00101934,0.00101934
27,3170.26,1.72737,1.65161,1.61674,0.52107,0.52306,0.51297,0.27541,1.658,1.38508,1.46668,0.00101568,0.00101568,0.00101568
28,3287.71,1.74063,1.6644,1.61532,0.5315,0.5008,0.49076,0.27326,1.67669,1.42304,1.48044,0.00101201,0.00101201,0.00101201
29,3403.8,1.7127,1.65899,1.62915,0.56061,0.47752,0.50958,0.28734,1.63484,1.35182,1.46477,0.00100834,0.00100834,0.00100834
30,3520.92,1.7328,1.62581,1.61567,0.53561,0.48009,0.4787,0.26382,1.6549,1.40829,1.47761,0.00100468,0.00100468,0.00100468
31,3637.14,1.70156,1.62345,1.60473,0.5635,0.47925,0.48234,0.26607,1.65195,1.4253,1.48575,0.00100101,0.00100101,0.00100101
32,3753.6,1.73828,1.66279,1.62791,0.52526,0.50758,0.50543,0.27704,1.64912,1.39651,1.47562,0.000997345,0.000997345,0.000997345
33,3870.3,1.75264,1.67527,1.64936,0.56032,0.49285,0.48733,0.27208,1.6763,1.43517,1.49459,0.000993678,0.000993678,0.000993678
34,3986.92,1.69724,1.62082,1.59706,0.60737,0.52958,0.54074,0.2975,1.62953,1.38359,1.45495,0.000990012,0.000990012,0.000990012
35,4104.49,1.70751,1.57086,1.5853,0.52759,0.54949,0.54174,0.29623,1.61597,1.36192,1.44937,0.000986346,0.000986346,0.000986346
36,4221.81,1.71755,1.63652,1.62803,0.61592,0.49839,0.52617,0.28905,1.6226,1.34652,1.45565,0.000982679,0.000982679,0.000982679
37,4338.94,1.69987,1.607,1.6025,0.54865,0.5329,0.53613,0.30283,1.62743,1.32364,1.46351,0.000979013,0.000979013,0.000979013
38,4455.26,1.68046,1.58724,1.59947,0.50023,0.51055,0.4854,0.26883,1.67937,1.40848,1.48069,0.000975347,0.000975347,0.000975347
39,4571.31,1.70932,1.58785,1.6065,0.56934,0.48121,0.50885,0.29183,1.62594,1.34336,1.45799,0.000971681,0.000971681,0.000971681
40,4687.88,1.66896,1.58206,1.59145,0.55006,0.53324,0.54485,0.29925,1.6181,1.35037,1.43995,0.000968014,0.000968014,0.000968014
41,4804.07,1.65753,1.54883,1.58892,0.57428,0.52879,0.51814,0.29569,1.61761,1.30074,1.45658,0.000964348,0.000964348,0.000964348
42,4920.88,1.6662,1.5735,1.59174,0.59703,0.53339,0.54894,0.30496,1.64076,1.3581,1.45991,0.000960682,0.000960682,0.000960682
43,5037.56,1.67541,1.55652,1.58783,0.55638,0.55361,0.55884,0.30712,1.60315,1.3025,1.42254,0.000957015,0.000957015,0.000957015
44,5154.33,1.67843,1.55752,1.58722,0.61846,0.53063,0.54367,0.30018,1.65753,1.29809,1.46746,0.000953349,0.000953349,0.000953349
45,5271,1.64214,1.50642,1.56374,0.57981,0.52564,0.53991,0.30204,1.62706,1.31432,1.4465,0.000949683,0.000949683,0.000949683
46,5387.63,1.65253,1.5135,1.56086,0.59959,0.53517,0.5363,0.30256,1.62445,1.29433,1.4434,0.000946016,0.000946016,0.000946016
