epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1748,3.42007,4.17044,4.18727,0.00528,0.16507,0.0125,0.00476,3.0372,4.14287,4.12033,0.000362283,0.000362283,0.000362283
2,98.6731,3.44802,3.93224,4.07125,0.80271,0.06579,0.00376,0.00122,3.16678,4.25616,4.0364,0.000727781,0.000727781,0.000727781
3,148.257,3.45045,3.66768,3.86462,0.81058,0.05592,0.00937,0.00297,3.14704,7.84248,3.64394,0.00108839,0.00108839,0.00108839
4,199.674,3.3778,3.45207,3.64881,0.80792,0.075,0.01131,0.00373,3.21296,5.60817,3.49844,0.001089,0.001089,0.001089
5,254.31,3.24393,3.38293,3.47102,0.82804,0.03684,0.01803,0.00521,2.97262,4.05073,3.36347,0.00108167,0.00108167,0.00108167
6,306.865,3.06363,3.29486,3.33193,0.69695,0.05198,0.0331,0.01012,2.75473,3.56735,3.27007,0.00107434,0.00107434,0.00107434
7,361.89,2.92101,3.25135,3.20025,0.62409,0.02961,0.01455,0.00417,2.83983,3.6178,3.21308,0.001067,0.001067,0.001067
8,415.856,2.77862,3.2058,3.12204,0.50659,0.07428,0.02734,0.00889,2.70705,3.56116,3.16639,0.00105967,0.00105967,0.00105967
9,473.221,2.77546,3.18095,3.02765,0.84427,0.04451,0.03741,0.01052,2.7975,3.52311,3.03908,0.00105234,0.00105234,0.00105234
10,528.878,2.73706,3.14385,2.96087,0.6421,0.0645,0.04687,0.01602,2.64769,3.4471,2.97539,0.00104501,0.00104501,0.00104501
11,579.678,2.6315,3.05584,2.85939,0.48913,0.0799,0.05829,0.02063,2.57317,3.21261,2.99782,0.00103767,0.00103767,0.00103767
12,631.69,2.52202,2.977,2.81495,0.85847,0.04474,0.05657,0.01803,2.51295,3.23581,2.88368,0.00103034,0.00103034,0.00103034
13,683.607,2.53691,2.96112,2.74648,0.6742,0.07773,0.07914,0.02654,2.47425,3.21795,2.81702,0.00102301,0.00102301,0.00102301
14,735.086,2.49222,2.91878,2.69985,0.55443,0.12136,0.09195,0.03196,2.38357,3.06817,2.69968,0.00101568,0.00101568,0.00101568
15,786.581,2.48144,2.85064,2.64567,0.57942,0.11996,0.12062,0.05137,2.35151,3.05979,2.73066,0.00100834,0.00100834,0.00100834
16,838.15,2.38818,2.79961,2.61995,0.57545,0.15543,0.14193,0.05889,2.28839,2.97774,2.66728,0.00100101,0.00100101,0.00100101
17,889.211,2.33647,2.75525,2.58484,0.52073,0.15549,0.11821,0.04738,2.25329,2.87198,2.61884,0.000993678,0.000993678,0.000993678
18,941.084,2.29289,2.71496,2.51312,0.52327,0.19768,0.12814,0.05408,2.17927,2.95944,2.5119,0.000986346,0.000986346,0.000986346
19,991.217,2.25787,2.64012,2.47202,0.58077,0.17376,0.12018,0.04874,2.19526,2.78148,2.4919,0.000979013,0.000979013,0.000979013
20,1041.14,2.26025,2.62811,2.4447,0.54784,0.18514,0.15915,0.07058,2.12345,2.683,2.46873,0.000971681,0.000971681,0.000971681
21,1091.61,2.1802,2.57113,2.39644,0.58614,0.18605,0.14437,0.06591,2.11431,2.77787,2.44796,0.000964348,0.000964348,0.000964348
22,1141.98,2.17007,2.5274,2.35007,0.61716,0.19906,0.17263,0.07549,2.12371,2.71139,2.42461,0.000957015,0.000957015,0.000957015
