epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1096,1.94686,4.06846,1.73972,0.00811,0.211,0.03801,0.02795,1.84777,4.14361,1.6914,7.272e-05,7.272e-05,7.272e-05
2,57.4803,1.92262,3.76847,1.63526,0.01316,0.27864,0.06721,0.0487,1.87738,4.04194,1.5258,0.00015147,0.00015147,0.00015147
3,84.5878,1.91147,3.33841,1.58714,0.01864,0.35329,0.10929,0.07933,2.00315,3.83518,1.51178,0.000226981,0.000226981,0.000226981
4,111.983,1.96163,3.09123,1.603,0.02131,0.41957,0.15508,0.10154,2.05743,3.55972,1.49265,0.000299252,0.000299252,0.000299252
5,140.475,1.92216,2.80449,1.54458,0.94738,0.06716,0.15813,0.10099,2.09149,3.29727,1.41767,0.000368283,0.000368283,0.000368283
6,168.866,1.92668,2.49333,1.49023,0.76506,0.15898,0.2183,0.12661,2.05505,2.99619,1.46649,0.000434075,0.000434075,0.000434075
7,197.226,1.81024,2.4317,1.46768,0.6975,0.19443,0.25142,0.15849,1.98054,2.99314,1.45136,0.000496627,0.000496627,0.000496627
8,225.394,1.88139,2.30453,1.48061,0.71167,0.23306,0.27312,0.15917,1.9685,2.8192,1.52315,0.000555939,0.000555939,0.000555939
9,254.417,1.8376,2.19473,1.4601,0.49198,0.26789,0.29486,0.17573,1.94738,2.56303,1.52228,0.000612012,0.000612012,0.000612012
10,283.39,1.87591,2.21641,1.49429,0.50151,0.30435,0.30966,0.17948,1.96084,2.35598,1.50388,0.000664844,0.000664844,0.000664844
11,311.946,1.81201,2.02353,1.44143,0.54366,0.33413,0.35093,0.2029,1.93613,2.13641,1.47035,0.000714438,0.000714438,0.000714438
12,340.796,1.77303,2.03888,1.45211,0.59816,0.31055,0.35024,0.20036,1.93853,2.17316,1.47262,0.00071102,0.00071102,0.00071102
13,369.066,1.71136,1.95754,1.44592,0.58237,0.34827,0.38855,0.22454,1.87428,2.16897,1.46308,0.000693022,0.000693022,0.000693022
14,397.662,1.79516,2.01143,1.47056,0.48731,0.37219,0.38077,0.22147,1.86995,2.17171,1.43542,0.000675023,0.000675023,0.000675023
15,426.06,1.79136,1.82893,1.4352,0.60086,0.36247,0.40612,0.23938,1.84121,1.9985,1.39852,0.000657025,0.000657025,0.000657025
16,454.922,1.79297,1.86053,1.41545,0.55213,0.42741,0.42323,0.24836,1.82716,1.83586,1.38241,0.000639027,0.000639027,0.000639027
17,484.365,1.77016,1.85698,1.44755,0.57566,0.44121,0.43044,0.24742,1.81395,1.7753,1.39476,0.000621029,0.000621029,0.000621029
18,514.23,1.75124,1.75326,1.42954,0.63933,0.42213,0.4601,0.25951,1.78812,1.76785,1.38896,0.000603031,0.000603031,0.000603031
19,543.044,1.71884,1.73652,1.41412,0.66765,0.43677,0.48014,0.28338,1.77744,1.73985,1.36721,0.000585032,0.000585032,0.000585032
20,571.874,1.76174,1.69733,1.38642,0.62648,0.46187,0.48733,0.29095,1.77378,1.78153,1.38728,0.000567034,0.000567034,0.000567034
21,599.915,1.66713,1.67675,1.37272,0.59349,0.44757,0.49362,0.29823,1.75309,1.83421,1.38277,0.000549036,0.000549036,0.000549036
22,627.738,1.71716,1.66561,1.39286,0.58018,0.48896,0.52476,0.31985,1.71862,1.70945,1.35246,0.000531038,0.000531038,0.000531038
23,656.141,1.65535,1.62129,1.365,0.56915,0.52543,0.54926,0.32722,1.70802,1.59082,1.33944,0.00051304,0.00051304,0.00051304
24,684.477,1.57102,1.60482,1.36586,0.65446,0.48682,0.5484,0.32371,1.70487,1.54927,1.34049,0.000495041,0.000495041,0.000495041
25,713.224,1.6388,1.58409,1.35941,0.63889,0.52343,0.55236,0.31836,1.70437,1.52227,1.35083,0.000477043,0.000477043,0.000477043
26,740.591,1.61639,1.59414,1.40357,0.65711,0.51773,0.55233,0.32205,1.70526,1.54326,1.35917,0.000459045,0.000459045,0.000459045
27,768.372,1.64349,1.51851,1.36,0.61759,0.55613,0.58357,0.3445,1.67857,1.48483,1.33169,0.000441047,0.000441047,0.000441047
28,797.712,1.66359,1.49544,1.31724,0.70493,0.54957,0.6044,0.36247,1.64855,1.40764,1.29979,0.000423049,0.000423049,0.000423049
29,825.85,1.63159,1.48821,1.33583,0.69104,0.55607,0.6067,0.37077,1.64168,1.42296,1.29178,0.00040505,0.00040505,0.00040505
30,854.079,1.68454,1.4665,1.34641,0.6841,0.56656,0.6217,0.38065,1.62926,1.42852,1.28042,0.000387052,0.000387052,0.000387052
31,882.109,1.65717,1.48503,1.3507,0.69551,0.58117,0.63409,0.38423,1.62699,1.40194,1.28095,0.000369054,0.000369054,0.000369054
32,911.219,1.55763,1.36189,1.27389,0.70115,0.6161,0.65635,0.39051,1.60569,1.31643,1.26909,0.000351056,0.000351056,0.000351056
